,Unnamed: 0,Time,Grid size,Schedule,Threads,Write output id, Speedup
0,47,1.45063,500,"static,1000",1,20,1.0
1,27,0.051778,500,"static,1000",32,21,28.01633898566959
2,10,0.040567,500,"static,1000",64,22,35.75886804545567
3,124,0.067249,500,"static,1000",128,23,21.57102707846957

