,Time,Grid size,Schedule,Threads,Write output id
227,14.613793,8000,"guided,50",64,98
228,14.613793,8000,"guided,50",64,98
229,14.613793,8000,"guided,50",64,98
230,1.435204,500,"guided,200",1,16
231,1.435204,500,"guided,200",1,16
232,1.435204,500,"guided,200",1,16
233,0.067427,500,"guided,1000",128,23
234,0.067427,500,"guided,1000",128,23
235,0.067427,500,"guided,1000",128,23
236,0.067427,500,"guided,1000",128,23
237,26.071007,8000,"guided,75",32,101
238,26.071007,8000,"guided,75",32,101
239,15.538185,8000,"guided,200",128,115
